iter	Passed	Remaining
0	2	248
1	4	228
2	6	223
3	9	217
4	11	224
5	14	224
6	16	221
7	18	218
8	21	212
9	23	210
10	25	208
11	28	206
12	30	202
13	32	200
14	34	197
15	37	194
16	39	191
17	41	190
18	44	188
19	46	186
20	48	183
21	51	181
22	53	179
23	55	177
24	58	175
25	60	172
26	62	169
27	65	168
28	68	167
29	70	165
30	73	162
31	75	160
32	78	159
33	80	157
34	83	154
35	85	151
36	87	149
37	90	148
38	93	146
39	95	143
40	97	140
41	98	136
42	101	134
43	103	131
44	105	129
45	108	127
46	110	124
47	113	123
48	115	120
49	118	118
50	120	115
51	123	113
52	125	111
53	127	108
54	129	106
55	132	104
56	134	101
57	137	99
58	139	97
59	142	94
60	144	92
61	147	90
62	150	88
63	152	85
64	154	83
65	157	81
66	159	78
67	161	76
68	163	73
69	166	71
70	168	68
71	170	66
72	172	63
73	175	61
74	177	59
75	180	57
76	182	54
77	185	52
78	187	49
79	189	47
80	191	44
81	194	42
82	196	40
83	198	37
84	200	35
85	203	33
86	205	30
87	208	28
88	210	26
89	212	23
90	215	21
91	217	18
92	220	16
93	222	14
94	225	11
95	227	9
96	230	7
97	232	4
98	235	2
99	237	0
